1,Toy Story (1995),Adventure|Animation|Chi
2,Jumanji (1995),Adventure|Children|Fantas
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Ro
5,Father of the Bride Part II (1995),Comed
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thrill
12,Dracula: Dead and Loving It (1995),Comed
13,Balto (1995),Adventure|Animation|Childre
14,Nixon (1995),Drama
15,Cutthroat Island (1995),Action|Adventure
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Roman
18,Four Rooms (1995),Comedy
19,Ace Ventura: When Nature Calls (1995),Co
20,Money Train (1995),Action|Comedy|Crime|D
21,Get Shorty (1995),Comedy|Crime|Thriller
22,Copycat (1995),Crime|Drama|Horror|Myster
23,Assassins (1995),Action|Crime|Thriller
24,Powder (1995),Drama|Sci-Fi
25,Leaving Las Vegas (1995),Drama|Romance
26,Othello (1995),Drama
27,Now and Then (1995),Children|Drama
28,Persuasion (1995),Drama|Romance
30,Shanghai Triad (Yao a yao yao dao waipo,
31,Dangerous Minds (1995),Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995,
34,Babe (1995),Children|Drama
36,Dead Man Walking (1995),Crime|Drama
38,It Takes Two (1995),Children|Comedy
39,Clueless (1995),Comedy|Romance
41,Richard III (1995),Drama|War
42,Dead Presidents (1995),Action|Crime|Dram
43,Restoration (1995),Drama
44,Mortal Kombat (1995),Action|Adventure|Fa
45,To Die For (1995),Comedy|Drama|Thriller
46,How to Make an American Quilt (1995),Dra
47,Seven (a.k.a. Se7en) (1995),Mystery|Thri
48,Pocahontas (1995),Animation|Children|Dra
49,When Night Is Falling (1995),Drama|Roman
52,Mighty Aphrodite (1995),Comedy|Drama|Rom
53,Lamerica (1994),Adventure|Drama
55,Georgia (1995),Drama
57,Home for the Holidays (1995),Drama
61,Eye for an Eye (1996),Drama|Thriller
62,Mr. Holland's Opus (1995),Drama
63,Don't Be a Menace to South Central While,
64,Two if by Sea (1996),Comedy|Romance
65,Bio-Dome (1996),Comedy
66,Lawnmower Man 2: Beyond Cyberspace (1996,
